"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","277","User creates the profile with incorrect data","LMS service","Tue Aug 26 17:58:23 UTC 2025","passed","Tue Aug 26 17:58:23 UTC 2025","Validate entity","Users","",""
"","31","User creates course with correct data","LMS service","Tue Aug 26 17:58:01 UTC 2025","passed","Tue Aug 26 17:58:01 UTC 2025","Create entity","Courses","",""
"","19","User updates the exercise with incorrect data","LMS service","Tue Aug 26 17:58:19 UTC 2025","passed","Tue Aug 26 17:58:19 UTC 2025","Validate entity","Exercises","",""
"","267","User updates the exercise with incorrect exercise_id","LMS service","Tue Aug 26 17:58:21 UTC 2025","passed","Tue Aug 26 17:58:22 UTC 2025","Validate entity","Exercises","",""
"","16","User creates course with incorrect data","LMS service","Tue Aug 26 17:58:01 UTC 2025","passed","Tue Aug 26 17:58:01 UTC 2025","Validate entity","Courses","",""
"","263","User gets the profile with authorized token","LMS service","Tue Aug 26 17:58:24 UTC 2025","passed","Tue Aug 26 17:58:24 UTC 2025","Get entity","Users","",""
"","286","User creates course with incorrect data","LMS service","Tue Aug 26 17:58:00 UTC 2025","passed","Tue Aug 26 17:58:00 UTC 2025","Validate entity","Courses","",""
"","248","User creates the profile with incorrect data","LMS service","Tue Aug 26 17:58:23 UTC 2025","passed","Tue Aug 26 17:58:23 UTC 2025","Validate entity","Users","",""
"","12","User logs in with incorrect password","LMS service","Tue Aug 26 17:57:59 UTC 2025","passed","Tue Aug 26 17:57:59 UTC 2025","Validate entity","Authentication","",""
"","15","User deletes the exercise with incorrect exercise_id","LMS service","Tue Aug 26 17:58:11 UTC 2025","passed","Tue Aug 26 17:58:11 UTC 2025","Validate entity","Exercises","",""
"","264","User updates the profile with incorrect data","LMS service","Tue Aug 26 17:58:27 UTC 2025","passed","Tue Aug 26 17:58:27 UTC 2025","Validate entity","Users","",""
"","260","User gets the profile with incorrect user_id","LMS service","Tue Aug 26 17:58:26 UTC 2025","passed","Tue Aug 26 17:58:26 UTC 2025","Validate entity","Users","",""
"","258","User updates the profile with incorrect data","LMS service","Tue Aug 26 17:58:28 UTC 2025","passed","Tue Aug 26 17:58:28 UTC 2025","Validate entity","Users","",""
"","11","User creates the profile with incorrect data","LMS service","Tue Aug 26 17:58:23 UTC 2025","passed","Tue Aug 26 17:58:23 UTC 2025","Validate entity","Users","",""
"","16","User updates the exercise with incorrect data","LMS service","Tue Aug 26 17:58:20 UTC 2025","passed","Tue Aug 26 17:58:20 UTC 2025","Validate entity","Exercises","",""
"","302","User gets the course with correct course_id","LMS service","Tue Aug 26 17:58:03 UTC 2025","passed","Tue Aug 26 17:58:03 UTC 2025","Get entity","Courses","",""
"","518","User creates the profile with correct data","LMS service","Tue Aug 26 17:58:22 UTC 2025","passed","Tue Aug 26 17:58:22 UTC 2025","Create entity","Users","",""
"","18","User creates course with incorrect data","LMS service","Tue Aug 26 17:57:59 UTC 2025","passed","Tue Aug 26 17:57:59 UTC 2025","Validate entity","Courses","",""
"","14","User updates the course with incorrect course data","LMS service","Tue Aug 26 17:58:08 UTC 2025","passed","Tue Aug 26 17:58:08 UTC 2025","Validate entity","Courses","",""
